,restaurant,entree,price,description,cuisine
60,China Wok,Sweet and Sour Pork,$14.99,Sweetened sauce with vinegar base.,Chinese
61,China Wok,Sweet and Sour Shrimp,$15.99,Sweetened sauce with vinegar base.,Chinese
62,China Wok,Sweet and Sour Triple,$16.49,Sweetened sauce with vinegar base.,Chinese
63,China Wok,Chicken with Broccoli,$15.59,,Chinese
64,China Wok,Chicken with Mushrooms,$15.59,,Chinese
65,China Wok,Chicken with Cashews,$15.59,,Chinese
66,China Wok,Chicken with Black Bean Sauce,$15.59,"Spicy, sweet, and salty sauce made from fermented black beans.",Chinese
67,China Wok,Chicken with Mixed Vegetables,$15.59,,Chinese
68,China Wok,Moo Goo Gai Pan,$15.59,,Chinese
69,China Wok,Almond Chicken,$15.59,,Chinese
70,China Wok,Chicken with Garlic Sauce,$15.59,Spicy.,Chinese
71,China Wok,Kung Pao Chicken,$15.59,Spicy.,Chinese
72,China Wok,Curry Chicken,$15.59,Spicy.,Chinese
73,China Wok,Hunan Chicken,$15.59,Spicy.,Chinese
74,China Wok,Szechuan Chicken,$15.59,Spicy.,Chinese
75,China Wok,Sauteed Broccoli,$13.39,,Chinese
76,China Wok,Sauteed Mixed Vegetables,$13.39,,Chinese
77,China Wok,Broccoli with Bean Curd,$14.49,Tofu. ,Chinese
78,China Wok,Mixed Vegetables with Bean Curd,$14.49,Tofu. ,Chinese
79,China Wok,Broccoli with Garlic Sauce,$13.39,Spicy.,Chinese
80,China Wok,Ma Po Tofu,$14.99,Spicy.,Chinese
81,China Wok,Roasted Pork with Broccoli,$15.49,,Chinese
82,China Wok,Roasted Pork with Mushrooms,$15.49,,Chinese
83,China Wok,Roasted Pork with Mixed Vegetables,$15.49,,Chinese
84,China Wok,Roasted Pork with Garlic Sauce,$15.49,Spicy.,Chinese
85,China Wok,Curry Roasted pork,$15.49,Spicy.,Chinese
86,China Wok,Hunan Roasted Pork,$15.49,Spicy.,Chinese
87,China Wok,Double Sauteed Sliced Pork,$16.39,Spicy.,Chinese
88,China Wok,Vegetable Egg Foo Young,$12.89,,Chinese
89,China Wok,Roast Pork Egg Foo Young,$13.49,,Chinese
90,China Wok,Chicken Egg Foo Young,$13.49,,Chinese
91,China Wok,Beef Egg Foo Young,$13.99,,Chinese
92,China Wok,Shrimp Egg Foo Young,$13.99,,Chinese
93,China Wok,Combination Egg Foo Young,$14.49,,Chinese
94,China Wok,Mongolian Chicken,$14.99,Spicy.,Chinese
95,China Wok,Mongolian Beef,$15.49,Spicy.,Chinese
96,China Wok,Mongolian Shrimp,$15.49,Spicy.,Chinese
97,China Wok,Mongolian Combination,$15.99,Spicy.,Chinese
98,China Wok,Moo Shu Vegetable,$12.89,,Chinese
99,China Wok,Moo Shu Pork,$13.99,,Chinese
100,China Wok,Moo Shu Chicken,$13.99,,Chinese
101,China Wok,Moo Shu Beef,$14.79,,Chinese
102,China Wok,Moo Shu Shrimp,$14.79,,Chinese
103,China Wok,Steamed Broccoli Diet,$12.99,Steamed with out salt and oil. Served with white rice and sauce on the side.,Chinese
104,China Wok,Steamed Mixed Vegetables Diet,$12.99,Steamed with out salt and oil. Served with white rice and sauce on the side.,Chinese
105,China Wok,Steamed Chicken with Broccoli Diet,$14.79,Steamed with out salt and oil. Served with white rice and sauce on the side.,Chinese
106,China Wok,Steamed Chicken with Mixed Vegetables Diet,$14.79,Steamed with out salt and oil. Served with white rice and sauce on the side.,Chinese
107,China Wok,Steamed Shrimp with Broccoli Diet,$15.59,Steamed with out salt and oil. Served with white rice and sauce on the side.,Chinese
108,China Wok,Steamed Shrimp with Mixed Vegetables Diet,$15.59,Steamed with out salt and oil. Served with white rice and sauce on the side.,Chinese
109,China Wok,Pepper Steak with Onion,$15.99,,Chinese
110,China Wok,Pepper Steak with Onion,$15.99,,Chinese
111,China Wok,Beef with Black Bean Sauce,$15.99,"Spicy, sweet, and salty sauce made from fermented black beans.",Chinese
112,China Wok,Pepper Steak with Onion,$15.99,,Chinese
113,China Wok,Beef with Mixed Vegetables,$15.99,,Chinese
114,China Wok,Beef with Garlic Sauce,$15.99,Spicy.,Chinese
115,China Wok,Curry Beef,$15.99,Spicy.,Chinese
116,China Wok,Hunan Beef,$15.99,Spicy.,Chinese
117,China Wok,Szechuan Beef,$15.99,Spicy.,Chinese
118,China Wok,Shrimp with Broccoli,$16.39,,Chinese
119,China Wok,Shrimp with Mushrooms,$16.39,,Chinese
120,China Wok,Shrimp with Chinese Vegetables,$16.39,,Chinese
121,China Wok,Shrimp with Cashews,$16.39,,Chinese
122,China Wok,Shrimp with Mixed Vegetables,$16.39,,Chinese
123,China Wok,Shrimp with Lobster Sauce,$16.39,,Chinese
124,China Wok,Shrimp with Garlic Sauce,$16.39,Spicy.,Chinese
125,China Wok,Kung Pao Shrimp,$16.39,Spicy.,Chinese
126,China Wok,Curry Shrimp,$16.39,Spicy.,Chinese
127,China Wok,Hunan Shrimp,$16.39,Spicy.,Chinese
128,China Wok,Szechuan Shrimp,$16.39,Spicy.,Chinese
129,China Wok,Vegetable Mei Fun,$12.49,,Chinese
130,China Wok,Roasted Pork Mei Fun,$13.99,,Chinese
131,China Wok,Chicken Mei Fun,$13.99,,Chinese
132,China Wok,Beef Mei Fun,$14.69,,Chinese
133,China Wok,Shrimp Mei Fun,$14.69,,Chinese
134,China Wok,Singapore Mei Fun,$15.29,Spicy.,Chinese
135,China Wok,House Special Mei Fun,$15.29,,Chinese
136,China Wok,C1. Sesame Chicken Combo,$13.29,,Chinese
137,China Wok,C2. Sweet and Sour Chicken Combo,$13.29,Sweetened sauce with vinegar base.,Chinese
138,China Wok,C3. Honey Chicken Combo,$13.29,,Chinese
139,China Wok,C4. Chicken with Broccoli Combo,$13.29,,Chinese
140,China Wok,C5. Chicken Lo Mein Combo,$13.29,,Chinese
141,China Wok,C6. Chicken Chow Mein Combo,$13.29,,Chinese
142,China Wok,C7. Moo Goo Gai Pan Combo,$13.29,Stir fried chicken and vegetable dish.,Chinese
143,China Wok,C8. Chicken with Mushrooms Combo,$13.29,,Chinese
144,China Wok,C9. Chicken with Mixed Vegetable Combo,$13.29,,Chinese
145,China Wok,C10. Chicken with Cashews Combo,$13.29,,Chinese
146,China Wok,C11. Almond Chicken Combo,$13.29,,Chinese
147,China Wok,C12. Chicken Egg Foo Young Combo,$13.29,,Chinese
148,China Wok,C13. General Tso Chicken Combo,$13.29,Spicy.,Chinese
149,China Wok,C14. Orange Chicken Combo,$13.29,Spicy.,Chinese
150,China Wok,C15. Curry Chicken Combo,$13.29,Spicy.,Chinese
151,China Wok,C16. Hunan Chicken Combo,$13.29,Spicy.,Chinese
152,China Wok,C17. Kung Pao Chicken Combo,$13.29,Spicy.,Chinese
153,China Wok,C18. Chicken with Garlic Sauce Combo,$13.29,Spicy.,Chinese
154,China Wok,C19. Mongolian Chicken Combo,$13.29,Spicy.,Chinese
155,China Wok,C20. Sweet and Sour Pork Combo,$13.29,Sweetened sauce with vinegar base.,Chinese
156,China Wok,C21. Boneless Spare Ribs Combo,$13.29,,Chinese
157,China Wok,C22. Roasted Pork with Mixed Vegetables Combo,$13.29,,Chinese
158,China Wok,C23. Roasted Pork Lo Mein Combo,$13.29,,Chinese
159,China Wok,C24. Roasted Pork Chow Mein Combo,$13.29,,Chinese
160,China Wok,C25. Roasted Pork Egg Foo Young Combo,$13.29,,Chinese
161,China Wok,C26. Beef with Broccoli Combo,$13.89,,Chinese
162,China Wok,C27. Pepper Steak with Onion Combo,$13.89,Stir fried steak with vegetables and a savory sauce.,Chinese
163,China Wok,C28. Beef with Mixed Vegetables Combo,$13.89,,Chinese
164,China Wok,C29. Beef Lo Mein Combo,$13.89,,Chinese
165,China Wok,C30. Beef Chow Mein Combo,$13.89,,Chinese
166,China Wok,C31. Beef Egg Foo Young Combo,$13.89,,Chinese
167,China Wok,C32. Hunan Beef Combo,$13.89,Spicy.,Chinese
168,China Wok,C33. Beef with Garlic Sauce Combo,$13.89,Spicy.,Chinese
169,China Wok,C34. Mongolian Beef Combo,$13.89,Spicy.,Chinese
170,China Wok,C35. Shrimp with Broccoli Combo,$13.89,,Chinese
171,China Wok,C36. Shrimp with Cashews Combo,$13.89,,Chinese
172,China Wok,C37. Shrimp Lo Mein Combo,$13.89,,Chinese
173,China Wok,C38. Shrimp Egg Foo Young Combo,$13.89,,Chinese
174,China Wok,C39. Shrimp with Garlic Sauce Combo,$13.89,Spicy.,Chinese
175,China Wok,C40. Kung Pao Shrimp Combo,$13.89,Spicy.,Chinese
176,China Wok,C41. Hunan Shrimp Combo,$13.89,Spicy.,Chinese
177,China Wok,C42. Mongolian Shrimp Combo,$13.89,Spicy.,Chinese
178,China Wok,C43. Chicken Wings Combo,$13.89,Cooked wing of a chicken coated in sauce or seasoning.,Chinese
179,China Wok,C44. Mongolian Combination Combo,$14.29,Spicy.,Chinese
180,China Wok,3 Fortune Cookies,$0.60,"Crisp, sweet folded cookie.",Chinese
181,China Wok,Crispy Noodles,$1.00,,Chinese
182,China Wok,Large White Rice,$5.65,,Chinese
183,China Wok,Small White Rice,$3.85,,Chinese
184,China Wok,Can soda,$1.40,,Chinese
185,China Wok,Lunch Mongolian Combination ,$11.59,,Chinese
186,China Wok,L1. Sesame Chicken Lunch,$10.59,,Chinese
187,China Wok,L2. Sweet and Sour Chicken Lunch,$10.59,Sweetened sauce with vinegar base.,Chinese
188,China Wok,L3. Honey Chicken Lunch,$10.59,,Chinese
189,China Wok,L4. Chicken with Broccoli Lunch,$10.59,,Chinese
190,China Wok,L5. Chicken Lo Mein Lunch,$10.59,Egg noodle dish.,Chinese
191,China Wok,L6. Chicken Chow Mein Lunch,$10.59,Poultry.,Chinese
192,China Wok,L7. Moo Goo Gai Pan Lunch,$10.59,Stir fried chicken and vegetable dish.,Chinese
193,China Wok,L8. Chicken with Mixed Vegetables Lunch,$10.59,,Chinese
194,China Wok,L9. Chicken with Cashews Lunch,$10.59,,Chinese
195,China Wok,L10. Almond Chicken Lunch,$10.59,,Chinese
196,China Wok,L11. General Tso's Chicken Lunch,$10.59,Spicy.,Chinese
197,China Wok,L12. Orange Chicken Lunch,$10.59,Spicy.,Chinese
198,China Wok,L13. Curry Chicken Lunch,$10.59,Spicy.,Chinese
199,China Wok,L14. Hunan Chicken Lunch,$10.59,Spicy.,Chinese
200,China Wok,L15. Kung Pao Chicken Lunch,$10.59,Spicy.,Chinese
201,China Wok,L16. Chicken with Garlic Sauce Lunch,$10.59,Spicy.,Chinese
202,China Wok,L17. Mongolian Chicken Lunch,$10.59,Spicy.,Chinese
203,China Wok,L18. Sweet and Sour Pork Lunch,$10.59,Sweetened sauce with vinegar base.,Chinese
204,China Wok,L19. Boneless Spare Ribs Lunch,$10.59,A cut of meat taken from the shoulder. ,Chinese
205,China Wok,L20. Roasted Pork Lo Mein Lunch,$10.59,Cooked over dry heat. ,Chinese
206,China Wok,L21. Roasted Pork Chow Mein Lunch,$10.59,Stir fried chicken and vegetables.,Chinese
207,China Wok,L22. Broccoli with Brown Sauce Lunch,$10.59,,Chinese
208,China Wok,L23. Sauteed Mixed Vegetables Lunch,$10.59,Cooked in oil or fat over heat.,Chinese
209,China Wok,L24. Broccoli with Garlic Sauce Lunch,$10.59,Spicy.,Chinese
210,China Wok,L25. Beef with Broccoli Lunch,$10.59,,Chinese
211,China Wok,L26. Pepper Steak with Onion Lunch,$10.59,Stir fried steak with vegetables and a savory sauce.,Chinese
212,China Wok,L27. Beef with Mixed Vegetables Lunch,$10.59,,Chinese
213,China Wok,L28. Beef Lo Mein Lunch,$10.59,Egg noodle dish.,Chinese
214,China Wok,L29. Beef Chow Mein Lunch,$10.59,,Chinese
215,China Wok,L30. Hunan Beef Lunch,$10.59,Spicy.,Chinese
216,China Wok,L31. Beef with Garlic Sauce Lunch,$10.59,Spicy.,Chinese
217,China Wok,L32. Mongolian Beef Lunch,$10.59,Spicy.,Chinese
218,China Wok,L33. Shrimp with Broccoli Lunch,$10.59,,Chinese
219,China Wok,L34. Shrimp with Cashews Lunch,$10.59,,Chinese
220,China Wok,L35. Shrimp with Lobster Sauce Lunch,$10.59,Macaroni apsta in a cheese and lobster sauce. ,Chinese
221,China Wok,L36. Shrimp Lo Mein Lunch,$10.59,Egg noodle dish.,Chinese
222,China Wok,L37. Shrimp with Garlic Sauce Lunch,$10.59,Shell fish.,Chinese
223,China Wok,L38. Hunan Shrimp Lunch,$10.59,Spicy.,Chinese
224,China Wok,L39. Mongolian Shrimp Lunch,$10.59,Spicy.,Chinese
225,China Wok,L40. Mongolian Combination Lunch,$10.59,Spicy.,Chinese
226,Exline Pizza Austin Peay ,Fried Mozzarella Cheese Sitcks,$8.03,,American
227,Exline Pizza Austin Peay ,Half 901 BBQ Nachos,$7.82,"A half portion of either tortilla chips or our house-cooked kettle chips, topped with melted cheddar cheese and Memphis-style BBQ.",American
228,Exline Pizza Austin Peay ,Full 901 BBQ Nachos,$11.83,"A full portion of either tortilla chips or our house-cooked kettle chips, with melted cheddar cheese and Memphis-style BBQ.",American
229,Exline Pizza Austin Peay ,Chicken Tenders,$7.30,,American
230,Exline Pizza Austin Peay ,Italian Sausage Breaded Ravioli,$7.82,,American
231,Exline Pizza Austin Peay ,Uncle Walt's Chicken Wings (3),$9.71,"Three (3) whole chicken wings served your way: mild, hot, BBQ, honey gold, or seasoned.",American
232,Exline Pizza Austin Peay ,Uncle Walt's Chicken Wings (6),$17.59,"Six (6) whole chicken wings served your way: mild, hot, BBQ, honey gold, or seasoned.",American
233,Exline Pizza Austin Peay ,Combination Salad,$5.51,"Side salad with lettuce, tomato, pepperoni, cheese, cucumber, bell pepper, celery, radishes, pepper and green olives.",American
234,Exline Pizza Austin Peay ,Chef Salad,$11.50,"Your choice of ham or turkey, lettuce, tomato, cheese, egg, cucumber, bell pepper, radishes, celery, banana pepper, and green olive.",American
235,Exline Pizza Austin Peay ,Grilled Chicken Salad,$12.44,"Perfectly seasoned chicken, lettuce, tomato, cheese, egg, cucumber, bell pepper, radishes, celery, banana pepper, and green olive.",American
236,Exline Pizza Austin Peay ,Fried Chicken Salad,$12.44,"Fried chicken, lettuce, tomato, cheese, egg, cucumber, bell pepper, radishes, celery, banana pepper, and green olive.",American
237,Exline Pizza Austin Peay ,Chef Salad - NO MEAT,$7.25,,American
238,Exline Pizza Austin Peay ,Extra Salad Dressing,$0.75,,American
239,Exline Pizza Austin Peay ,Cheeseburger,$6.56,"Fresh and hand-pattied to order! Topped with cheese, lettuce, tomato, grilled onions, pickles, mustard, and mayo and served on a toasted bun.",American
240,Exline Pizza Austin Peay ,Tony's Hot Hoagie - Half,$4.99,"A half sandwich filled with ham, salami, pepperoni, a blend of American and mozzarella cheeses, and topped with lettuce and tomato. Served with zesty Italian dressing.",American
241,Exline Pizza Austin Peay ,Tony's Hot Hoagie - Full,$9.08,"A whole sandwich filled with ham, salami, pepperoni, a blend of American and mozzarella cheeses, and topped with lettuce and tomato. Served with zesty Italian dressing.",American
242,Exline Pizza Austin Peay ,Chicken Philly,$9.40,"Seasoned grilled chicken topped with sauteed peppers, onions, and cheese.",American
243,Exline Pizza Austin Peay ,CeeCee's Combo Sub,$11.18,"A full-size sub, baked open-face in our pizza ovens, and topped with our pizza sauce, house-grated mozzarella cheese, and your favorite toppings. Choose up to three veggies and two meats.",American
244,Exline Pizza Austin Peay ,Side Salad,$3.25,,American
245,Exline Pizza Austin Peay ,Steak Fries,$3.03,,American
246,Exline Pizza Austin Peay ,Onion Rings,$3.25,,American
247,Exline Pizza Austin Peay ,Kettle Chips,$3.25,,American
248,Exline Pizza Austin Peay ,Garlic Bread,$3.03,,American
249,Exline Pizza Austin Peay ,"6"" Pizza with Single Topping",$6.67,,American
250,Exline Pizza Austin Peay ,"12"" Pizza with Single Topping",$19.06,,American
251,Exline Pizza Austin Peay ,"16"" Pizza with Single Topping",$26.41,,American
252,Exline Pizza Austin Peay ,"6"" Vegetarian",$7.82,"Broccoli, mushrooms, black olives, bell peppers, and onions.",American
253,Exline Pizza Austin Peay ,"6"" Combination",$7.82,"Sausage, pepperoni, bell peppers, and onions.",American
254,Exline Pizza Austin Peay ,"6"" Around the World",$8.77,"Sausage, pepperoni, mushrooms, bell peppers, and onions.",American
255,Exline Pizza Austin Peay ,"6"" BBQ Chicken",$11.08,"BBQ sauce base, topped with chicken, mozzarella and cheddar cheese, and onions.",American
256,Exline Pizza Austin Peay ,"6"" Chicken Bacon Ranch",$11.08,"Ranch dressing base, topped with chicken, bacon, and tomatoes.",American
257,Exline Pizza Austin Peay ,"6"" Exliner",$9.82,"Named for Mr. and Mrs. Exline, featuring sausage or ground beef, pepperoni, extra pepperoni, mushrooms, and black olives.",American
258,Exline Pizza Austin Peay ,"6"" Special",$11.18,"Sausage, ground beef, bell peppers, onions, pepperoni, BBQ, mushrooms, and black olives.",American
259,Exline Pizza Austin Peay ,"6"" Meat Muncher",$11.18,"Sausage, ground beef, pepperoni, BBQ, kielbasa, and ham.",American
260,Exline Pizza Austin Peay ,"12"" Vegetarian",$22.94,"Broccoli, mushrooms, black olives, bell peppers, and onions.",American
261,Exline Pizza Austin Peay ,"12"" Combination",$22.94,"Sausage, pepperoni, bell peppers, and onions.",American
262,Exline Pizza Austin Peay ,"12"" Around the World",$23.26,"Sausage, pepperoni, mushrooms, bell peppers, and onions.",American
263,Exline Pizza Austin Peay ,"12"" BBQ Chicken",$22.42,"BBQ sauce base, topped with chicken, mozzarella and cheddar cheese, and onions.",American
264,Exline Pizza Austin Peay ,"12"" Chicken Bacon Ranch",$22.42,"Ranch dressing base, topped with chicken, bacon, and tomatoes.",American
265,Exline Pizza Austin Peay ,"12"" Exliner",$26.41,"Named for Mr. and Mrs. Exline, featuring sausage or ground beef, pepperoni, extra pepperoni, mushrooms, and black olives.",American
266,Exline Pizza Austin Peay ,"12"" Special",$27.77,"Sausage, ground beef, bell peppers, onions, pepperoni, BBQ, mushrooms, and black olives.",American
267,Exline Pizza Austin Peay ,"12"" Meat Muncher",$27.77,"Sausage, ground beef, pepperoni, BBQ, kielbasa, and ham.",American
268,Exline Pizza Austin Peay ,"16"" Vegetarian",$29.77,"Broccoli, mushrooms, black olives, bell peppers, and onions.",American
269,Exline Pizza Austin Peay ,"16"" Combination",$29.77,"Sausage, pepperoni, bell peppers, and onions.",American
270,Exline Pizza Austin Peay ,"16"" Around the World",$30.29,"Sausage, pepperoni, mushrooms, bell peppers, and onions.",American
271,Exline Pizza Austin Peay ,"16"" BBQ Chicken",$29.14,"BBQ sauce base, topped with chicken, mozzarella and cheddar cheese, and onions.",American
272,Exline Pizza Austin Peay ,"16"" Chicken Bacon Ranch",$29.14,"Ranch dressing base, topped with chicken, bacon, and tomatoes.",American
273,Exline Pizza Austin Peay ,"16"" Exliner",$33.44,"Named for Mr. and Mrs. Exline, featuring sausage or ground beef, pepperoni, extra pepperoni, mushrooms, and black olives.",American
274,Exline Pizza Austin Peay ,"16"" Special",$34.81,"Sausage, ground beef, bell peppers, onions, pepperoni, BBQ, mushrooms, and black olives.",American
275,Exline Pizza Austin Peay ,"16"" Meat Muncher",$34.81,"Sausage, ground beef, pepperoni, BBQ, kielbasa, and ham.",American
276,Exline Pizza Austin Peay ,Homemade Brownie,$2.48,A homemade brownie baked right in our pizza ovens.,American
277,Exline Pizza Austin Peay ,Chocolate Chip Cookie,$1.65,Fresh baked daily!,American
278,Exline Pizza Austin Peay ,Smores' Dessert Pizza,,"A delectable dessert pizza topped with gooey marshmallows, crunchy graham crackers, and delectable chocolate.",American
279,Exline Pizza Austin Peay ,Apple Pie-zza,,"A delectable dessert pizza topped with baked apples, cinnamon sugar, and cream cheese icing.",American
280,Exline Pizza Austin Peay ,Small Drink,$1.38,,American
281,Exline Pizza Austin Peay ,Medium Drink,$1.65,,American
282,Exline Pizza Austin Peay ,Large Drink,$2.20,,American
283,Rafferty's Restaurant & Bar,Batter-Fried Mushrooms,$10.99,Fresh hand-battered mushrooms fried crispy golden and served with mustard horseradish dipping sauce.,American
284,Rafferty's Restaurant & Bar,Rafferty's Supreme Nachos,$11.49,"Freshly made tortilla chips smothered with Monterrey jack and cheddar cheeses, home-made chili, seasoned refried beans, and our made-from-scratch queso. Then topped with lettuce, jalapeno peppers, freshly made pico de gallo and sour cream.",American
285,Rafferty's Restaurant & Bar,Chicken Finger Filets (Original),$10.99,Fresh hand-breaded deep-fried chicken tenders. Served with our special sweet and spicy dipping sauce.,American
286,Rafferty's Restaurant & Bar,Chicken Finger Filets (Tossed),$10.99,Chicken tenders tossed with our made-from-scratch Buffalo sauce. Served with our home-made garlic ranch or bleu cheese dressing.,American
287,Rafferty's Restaurant & Bar,Cheese Fries,$10.99,"Hand-cut French fries smothered with melted Monterey Jack & cheddar cheeses, hot chopped bacon and chives. Served with spicy ranch dressing. ",American
288,Rafferty's Restaurant & Bar,Buffalo Chicken Mac n' Cheese,$11.49,Hand-breaded chicken fingers tossed with our original Buffalo sauce then blended with our rich and creamy mac n' cheese. Topped with bread crumbs then baked and served piping hot.,American
289,Rafferty's Restaurant & Bar,Nutty Honey Butter Croissants,$6.99,A new twist on Rafferty's classic. A basket of our hot-from-the-oven croissants drizzled with honey butter then topped with candied pecans.,American
290,Rafferty's Restaurant & Bar,Queso Dip & Chips,$8.99,Our made-from-scratch queso dip garnished with our home-made pico de gallo. Served with freshly made tortilla chips.,American
291,Rafferty's Restaurant & Bar,Ultimate Club,$11.49,"Sliced smoked turkey, ham, Monterey Jack cheese, cheddar cheese, bacon, lettuce, sliced tomatoes
                      and our signature honey-mustard dressing. Served on toasted wheatberry bread.",American
292,Rafferty's Restaurant & Bar,Bluegrass Special,$11.49,"A boneless marinated hickory-grilled Barbeque chicken breast topped with bacon, Monterrey Jack cheese, pickles, sliced tomatoes, lettuce, and mayonnaise. Served on your choice of a fresh brioche bun or toasted wheat-berry bread.",American
293,Rafferty's Restaurant & Bar,Open-Faced Prime Rib Sandwich,$17.49,A juicy cut of our slow-roasted primeA juicy cut of our slow-roasted prime rib served on our fresh baked French bread. Served au jus. rib served on our fresh baked French bread. Served au jus. ,American
294,Rafferty's Restaurant & Bar,Rafferty's American Cheeseburger,$10.99,"A thick juicy black Angus chuck patty grilled on hickory wood then topped with American cheese, crispy lettuce, sliced tomato, onion, pickles, Mayo and mustard. Served on a fresh brioche bun.",American
295,Rafferty's Restaurant & Bar,Backyard BBQ Burger,$11.49,"A black Angus chuck patty topped with smoked bacon, charcoal-grilled sweet onions, smoked cheddar cheese, and BBQ. Served on a fresh brioche bun.",American
296,Rafferty's Restaurant & Bar,Bacon Cheeseburger,$11.49,Our American cheeseburger topped with crispy bacon.,American
297,Rafferty's Restaurant & Bar,California Burger,$11.49,"A black Angus chuck patty with melted Monterrey Jack cheese, bacon, spinach, tomato, red onion, sour cream, and 1000 island dressing. Served on a fresh brioche bun.",American
298,Rafferty's Restaurant & Bar,Potato Soup,,"Topped with cheese, chives and chopped bacon.",American
299,Rafferty's Restaurant & Bar,House Salad,$6.99,"Fresh crisp mixed greens with chopped eggs, fresh diced tomatoes, crisp potato sticks and chopped bacon. Topped with your choice of dressing.",American
300,Rafferty's Restaurant & Bar,House Salad and Soup,$11.49,,American
